                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3739,                 4.1588,                 1.3102,                0.76153,                0.06405,                0.05667,                0.03116,                 2.2897,                 3.1267,                 1.1784,             0.00019564,             0.00019564,             0.00019564
                      2,                 2.3774,                 3.4219,                 1.2082,                0.70372,                0.08912,                0.07497,                0.04127,                 2.2377,                 2.7518,                 1.1353,             0.00038195,             0.00038195,             0.00038195
                      3,                 2.3226,                 3.2678,                  1.167,                0.55053,                0.11252,                0.10458,                0.04818,                 2.1676,                 2.4627,                 1.1217,             0.00055855,             0.00055855,             0.00055855
                      4,                 2.2692,                 2.6655,                 1.1667,                0.48498,                0.12208,                0.10552,                0.05794,                 2.1298,                 2.3352,                  1.114,             0.00054434,             0.00054434,             0.00054434
                      5,                 2.2437,                 2.6631,                 1.1544,                 0.2561,                0.17446,                0.11377,                0.06561,                  2.056,                 2.2857,                 1.1064,             0.00054434,             0.00054434,             0.00054434
                      6,                 2.1879,                 2.5022,                 1.1292,                0.09267,                0.25104,                0.12369,                0.07384,                 2.0531,                  2.194,                 1.0991,             0.00052979,             0.00052979,             0.00052979
                      7,                 2.1892,                 2.3935,                 1.1263,                0.14989,                0.22987,                 0.1624,                0.09992,                 2.0259,                 2.1292,                  1.083,             0.00051523,             0.00051523,             0.00051523
                      8,                 2.1599,                 2.2642,                 1.1113,                0.11087,                0.25355,                0.14576,                0.08383,                 2.0067,                 2.0182,                 1.0775,             0.00050068,             0.00050068,             0.00050068
                      9,                  2.153,                 2.2674,                  1.106,                0.20865,                 0.2781,                0.17545,                0.10535,                 1.9752,                 1.9803,                 1.0761,             0.00048613,             0.00048613,             0.00048613
                     10,                 2.1328,                 2.2314,                 1.1054,                0.35624,                 0.2438,                0.18022,                0.10759,                 1.9751,                 1.9572,                 1.0751,             0.00047158,             0.00047158,             0.00047158
                     11,                 2.1221,                 2.1378,                 1.0915,                0.41795,                0.24835,                0.19007,                0.11506,                 2.0139,                 1.9139,                 1.0736,             0.00045702,             0.00045702,             0.00045702
                     12,                 2.0905,                 2.0941,                 1.0885,                0.33538,                0.25446,                0.19999,                0.12267,                 1.9355,                 1.8644,                 1.0672,             0.00044247,             0.00044247,             0.00044247
                     13,                 2.0422,                 2.1381,                 1.0855,                0.51581,                0.26155,                0.22379,                0.13955,                 1.9508,                 1.8444,                 1.0638,             0.00042792,             0.00042792,             0.00042792
                     14,                 2.0406,                 2.2032,                 1.0906,                0.43004,                0.26273,                0.23824,                0.14911,                 1.9505,                 1.8396,                 1.0688,             0.00041336,             0.00041336,             0.00041336
                     15,                 2.0236,                 2.1217,                 1.0863,                0.43437,                0.27442,                0.24443,                0.15584,                 1.9238,                 1.8534,                  1.058,             0.00039881,             0.00039881,             0.00039881
                     16,                 2.0153,                  1.984,                 1.0723,                0.50383,                0.32419,                 0.2697,                0.17711,                 1.8846,                  1.778,                 1.0575,             0.00038426,             0.00038426,             0.00038426
                     17,                  2.034,                 1.9351,                 1.0748,                0.53567,                0.27677,                0.27081,                0.17128,                 1.9091,                 1.7459,                 1.0592,             0.00036971,             0.00036971,             0.00036971
                     18,                 2.0322,                 1.9525,                 1.0762,                0.63383,                0.27852,                0.28378,                0.18222,                 1.8836,                 1.7364,                 1.0533,             0.00035515,             0.00035515,             0.00035515
                     19,                 1.9926,                 1.9632,                 1.0703,                0.60735,                0.31061,                0.29375,                0.19229,                 1.8796,                   1.74,                 1.0543,              0.0003406,              0.0003406,              0.0003406
                     20,                 2.0055,                 1.9647,                  1.067,                0.49788,                0.32092,                 0.2948,                0.18592,                 1.9169,                 1.7366,                  1.055,             0.00032605,             0.00032605,             0.00032605
                     21,                  1.956,                 1.8858,                 1.0684,                0.53693,                0.32971,                0.28732,                0.18555,                 1.8417,                 1.7172,                 1.0373,             0.00031149,             0.00031149,             0.00031149
                     22,                 1.9401,                 1.8521,                 1.0557,                0.58019,                0.33215,                0.30042,                0.19969,                 1.8488,                  1.671,                 1.0412,             0.00029694,             0.00029694,             0.00029694
                     23,                 1.9642,                 1.9475,                 1.0601,                0.56893,                0.34705,                 0.3098,                 0.2038,                 1.8318,                 1.6911,                 1.0488,             0.00028239,             0.00028239,             0.00028239
                     24,                  1.944,                 1.7983,                 1.0486,                0.58048,                0.34194,                0.31926,                0.20961,                 1.8462,                 1.6651,                 1.0382,             0.00026783,             0.00026783,             0.00026783
                     25,                 1.9381,                 1.7974,                 1.0491,                0.52973,                0.34262,                0.32514,                0.21443,                 1.8476,                 1.6475,                 1.0384,             0.00025328,             0.00025328,             0.00025328
                     26,                 1.9711,                 1.7896,                 1.0518,                0.63353,                0.33966,                0.33708,                0.22537,                 1.8353,                 1.6392,                 1.0358,             0.00023873,             0.00023873,             0.00023873
                     27,                 1.9255,                 1.7802,                 1.0459,                0.48771,                0.34014,                0.33102,                0.22269,                 1.8175,                 1.6193,                 1.0323,             0.00022417,             0.00022417,             0.00022417
                     28,                 1.9384,                 1.7959,                 1.0485,                0.56528,                0.33936,                0.31739,                0.20773,                  1.823,                 1.6685,                 1.0352,             0.00020962,             0.00020962,             0.00020962
                     29,                 1.8993,                 1.7732,                 1.0419,                0.56433,                0.34149,                0.33184,                0.22003,                 1.8088,                 1.6171,                 1.0287,             0.00019507,             0.00019507,             0.00019507
                     30,                 1.9043,                 1.7317,                 1.0431,                0.54127,                0.34676,                0.32506,                0.21445,                 1.8141,                 1.6004,                 1.0319,             0.00018052,             0.00018052,             0.00018052
                     31,                 2.0405,                 1.8926,                 1.0319,                0.55702,                 0.3268,                0.32354,                0.21234,                 1.8241,                 1.6428,                 1.0314,             0.00016596,             0.00016596,             0.00016596
                     32,                 2.0053,                 1.8445,                 1.0274,                0.52753,                0.32873,                0.32392,                0.21724,                 1.8122,                  1.637,                 1.0308,             0.00015141,             0.00015141,             0.00015141
                     33,                 1.9912,                 1.8251,                 1.0212,                0.45019,                0.32936,                0.32211,                0.21305,                 1.8148,                 1.6461,                 1.0279,             0.00013686,             0.00013686,             0.00013686
                     34,                   1.99,                 1.7718,                  1.022,                0.54923,                0.31795,                0.31824,                0.20765,                 1.8192,                 1.6398,                 1.0296,              0.0001223,              0.0001223,              0.0001223
                     35,                 1.9668,                 1.7458,                 1.0134,                0.45096,                 0.3194,                0.30963,                0.20159,                 1.8285,                 1.6765,                 1.0306,             0.00010775,             0.00010775,             0.00010775
                     36,                 1.9596,                 1.7366,                 1.0144,                0.45107,                0.32538,                 0.3134,                0.20328,                 1.8205,                 1.6514,                 1.0287,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     37,                 1.9619,                 1.7172,                 1.0145,                0.46559,                0.32329,                0.31989,                0.20875,                  1.822,                 1.6519,                 1.0309,             7.8645e-05,             7.8645e-05,             7.8645e-05
                     38,                 1.9579,                 1.7305,                 1.0137,                0.46149,                0.32778,                0.31952,                0.20857,                 1.8248,                  1.654,                 1.0323,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     39,                  1.937,                 1.7008,                 1.0107,                0.46674,                 0.3132,                0.31318,                0.20479,                 1.8161,                 1.6589,                 1.0325,             4.9539e-05,             4.9539e-05,             4.9539e-05
                     40,                 1.9471,                 1.7133,                 1.0096,                0.46545,                 0.3275,                0.32577,                 0.2145,                 1.8092,                 1.6413,                 1.0298,             3.4986e-05,             3.4986e-05,             3.4986e-05
